"time","score","value"
30,9.97494986604054,-1.28865320152105
31,9.99783764189357,1.41910231880672
32,9.99573603041505,1.32370059940701
33,9.96865028453919,-1.80497577381603
34,9.91664810452469,-0.484069526514125
35,9.83985946873937,-0.373211780065891
36,9.73847630878195,0.169085902211342
37,9.612752029753,-1.17298360282238
38,9.46300087687414,-0.376196736960944
39,9.28959715003869,0.783127639643547
40,9.09297426825682,0.9911713044315
41,8.87362368633375,0.229284474811702
42,8.63209366648874,0.336850948675991
43,8.36898790798498,-0.64723199918968
44,8.0849640381959,-0.443206682066575
45,7.78073196887921,1.16175176076309
46,7.4570521217672,0.0650510103873427
47,7.11473352790844,-0.682467580302316
48,6.75463180551151,1.63434165849319
49,6.37764702134504,-0.584849244406111
50,5.98472144103957,1.12993600059353
51,5.57683717391417,0.581201043276578
52,5.15501371821464,0.379293067076565
53,4.72030541289883,-0.310740875935373
54,4.2737988023383,0.886390001309243
55,3.81660992052332,-1.64186474990831
56,3.34988150155905,-0.98856374150857
57,2.87478012342544,-0.244003429490954
58,2.39249329213982,0.15605692572279
59,1.90422647361027,0.102051958284238
60,1.41120008059867,-0.28745817163283
61,0.914646422324372,-0.293194886378227
62,0.415806624332905,0.469477058057219
63,-0.0840724736714862,-0.662588512287212
64,-0.583741434275801,-2.19037266579489
65,-1.08195134530108,0.00385467168029454
66,-1.57745694143248,0.862942829061133
67,-2.069019716734,0.980223359085622
68,-2.55541102026831,-0.291724771104236
69,-3.03541512708429,-0.0610134758331342
70,-3.5078322768962,1.51186840118448
71,-3.9714816728596,-0.643609064922925
72,-4.42520443294852,-0.130950479435566
73,-4.86786648655699,0.485211453408803
74,-5.29836140908493,-0.645182434547011
75,-5.71561318742344,-0.463956219640376
76,-6.11857890942719,0.567249696972656
77,-6.50625137065167,-0.723407833759501
78,-6.87766159183974,0.455884553708724
79,-7.23188124086512,-1.19793462638391
80,-7.56802495307928,-2.01818055007467
81,-7.88525254426195,0.619723404969519
82,-8.1827711106441,-0.132857466100936
83,-8.45983701075447,-0.434960739564345
84,-8.71575772413588,-0.521754178741525
85,-8.94989358228583,0.992288425621206
86,-9.16165936749455,-1.08542240785116
87,-9.35052577558449,0.959832416858276
88,-9.51602073889516,-1.03901054087568
89,-9.65773060620639,-0.137841967398184
90,-9.77530117665097,-0.214708418065892
91,-9.86843858503237,0.57371858498562
92,-9.93691003633464,-1.77644931491255
93,-9.98054438758879,-0.256392295161705
94,-9.99923257564101,-0.138550636059799
95,-9.99292788975378,0.557684974345772
96,-9.96164608835841,1.12234628895228
97,-9.90546535966713,-0.982147207446364
98,-9.82452612624332,0.326905555961652
99,-9.71903069401821,0.447826608391904
100,-9.58924274663138,1.1837241202911
101,-9.43548668635907,-0.0886169165456814
102,-9.25814682327733,1.14699788033095
103,-9.05766641468704,0.0868125732903879
104,-8.83454655720153,-0.295005034185912
105,-8.58934493426592,0.512332938823226
106,-8.32267442223901,0.283313634520342
107,-8.03520155852156,0.384543716225821
108,-7.72764487555987,1.00480433898002
109,-7.40077310488894,-0.285965791273629
110,-7.05540325570392,-0.237339890666095
111,-6.69239857276262,-0.203674367247135
112,-6.31266637872322,1.07247200564893
113,-5.91715580631009,1.95027778565449
114,-5.50685542597638,0.964454066843779
115,-5.08279077499258,1.03840458842417
116,-4.64602179413757,1.7688736238061
117,-4.1976401783986,-0.571650147005197
118,-3.73876664830236,-1.47028288978346
119,-3.27054814869741,-1.11036644456852
120,-2.79415498198926,0.25440338911622
